2018-01-27 00:11:00	CNNW	45	CNNW_20180127_000000_Erin_Burnett_OutFront/start/660	TRUMP RETURNS TO WHITE HOUSE AMID MUELLER BOMBSHELL. AND QUESTIONS ABOUT POSSIBLE OBSTRUCTION OF JUSTICE\nTRUMP RETURNS TO WHITE HOUSE AMID MUELLER BOMBSHELL. . Michael Zeldin Former Special Assistant to Robert Mueller
2018-01-27 00:11:00	FOXNEWSW	26	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/660	iA GYMNASTICS ROCKED BY ALLEGATIONS OF ABUSE T;\n:W FALLOUT FROM LARRY NASSAR' S SEXUAL ABUSE. . \\ 'l'thtnn-w\ufb02f'nvn aura nnm \\\n:VV FALLOUT FROM LARRY NASSAR' S SEXUAL ABUSE. . \\...
2018-01-27 00:11:00	MSNBCW	36	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/660	KRISTOL: STORY COMING OUT NOW MAY MEAN. TRUMP IS AGAIN CONSIDERING FIRING MUELLER\nPAUL BUTLER I FORMER PROSECUTOR
2018-01-27 00:13:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/780	later,\
2018-01-27 00:13:00	MSNBCW	62	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/780	HANNITY ACCUSES NYT OF \"TRYING TO DISTRACT YOU\". BEFORE AIRING \"SHOCKING VIDEO\" OF A CAR CRASH
2018-01-27 00:14:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/840	later,\
2018-01-27 00:14:00	FOXNEWSW	20	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/840	DR GETS UP TO 175 YEARS IN PRISON. FOR\\ SEXUALLY ABUSING YOUNG GIRLS. . 'l'hn\ufb02tnww\ufb02f'nvn aura nnm \\
2018-01-27 00:14:00	MSNBCW	17	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/840	HANNITY ACCUSES NYT OF \"TRYING TO DISTRACT YOU\". BEFORE AIRING \"SHOCKING VIDEO\" OF A CAR CRASH\nSOURCE: TRUMP ORDERED FIRING OF SPECIAL COUNSEL IN JUNE
2018-01-27 00:16:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/960	later,\
2018-01-27 00:16:00	FOXNEWSW	6	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/960	1-8OO-4-LIBERTY. VISIT A LOCAL OFFICE
2018-01-27 00:16:00	MSNBCW	21	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/960	TRUMP TOUTS PARTY LOYALTY AFTER NEWS. THAT HE ORDERED MUELLER FIRING LAST JUNE
2018-01-27 00:17:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/1020	later,\
2018-01-27 00:18:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/1080	later,\
2018-01-27 00:18:00	CNNW	43	CNNW_20180127_000000_Erin_Burnett_OutFront/start/1080	TRUMP SPEAKS TO REPORTERS AMID REVELATION HE ORDERED MUELLER FIRING\nSOURCE: FEARS TRUMP WILL DIRECT ANGER AT WH COUNSEL. AFI'ER DETAILS HE REFUSED TO FIRE MUELLER MADE PUBLIC
2018-01-27 00:19:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/1140	later,\
2018-01-27 00:19:00	CNNW	62	CNNW_20180127_000000_Erin_Burnett_OutFront/start/1140	SOURCE: FEARS TRUMP WILL DIRECT ANGER AT WH COUNSEL. AFI'ER DETAILS HE REFUSED TO FIRE MUELLER MADE PUBLIC
2018-01-27 00:19:00	FOXNEWSW	12	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/1140	1UMP PUSHES \"AMERICA FIRST\" MESSAGE AT DAVOS
2018-01-27 00:20:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/1200	later,\
2018-01-27 00:20:00	MSNBCW	8	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/1200	RUDDY: I THINK TRUMP IS CONSIDERING FIRING MUELLER\nCOMEY: I BELIEVE I WAS FIRED TO CHANGE THE WAY. THE RUSSIA INVESTIGATION WAS BEING CONDUCTED\nJAMES COMEY [ FORMER FBI DIRECTOR
2018-01-27 00:21:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/1260	later,\
2018-01-27 00:21:00	CNNW	32	CNNW_20180127_000000_Erin_Burnett_OutFront/start/1260	SOURCE: WH COUNSEL DON MCGAHN REFUSED TO FIRE MUELLER\nSOURCE: WH COUNSEL DON MCGAHN REFUSED TO FIRE MUELLER. . Jamil Jaf'fer Fmr. Associate Counsel to Pres. George W. Bush\nSOURCE: FEARS...
2018-01-27 00:22:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/1320	later,\
2018-01-27 00:22:00	FOXNEWSW	8	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/1320	EACTION TO TRUMP' S DAVOS SPEECH. . \\ f'hn ufn-nvru rifh Mir\n'UMP TOUTS BOOMING ECONOMY IN DAVOS. . \\ f'hn ufn-nrru \"wk lair
2018-01-27 00:22:00	MSNBCW	54	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/1320	SOURCE: TRUMP ORDERED FIRING OF SPECIAL COUNSEL IN JUNE
2018-01-27 00:23:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/1380	later,\
2018-01-27 00:23:00	CNNW	30	CNNW_20180127_000000_Erin_Burnett_OutFront/start/1380	SOURCE: FEARS TRUMP WILL DIRECT HIS ANGER AT WH COUNSEL\nSOURCE: FEARS TRUMP WILL DIRECT HIS ANGER AT WH COUNSEL. . Jamil Jaffer Fmr. DOJ Counsel to the Assistant Attorney General\nSOURCE:...
2018-01-27 00:23:00	MSNBCW	29	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/1380	SOURCE: WH COUNSEL THREATENED TO RESIGN. OVER TRUMP\u2019S A1TEMPT TO FIRE MUELLER\nSOURCE: TRUMP ORDERED FIRING OF SPECIAL COUNSEL IN JUNE\nJONATHAN SWAN | AXIOS
2018-01-27 00:24:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/1440	later,\
2018-01-27 00:24:00	FOXNEWSW	19	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/1440	PRESIDENT TRUMP TO DELIVER FIRST. STATE\\ OF THE UNION ADDRESS NEXT WEEK. . 'l'hn\ufb02i'nww\ufb02f'nvn aura nnm \\\nSUSAN RICE WARNS AGAINST. POLITICAL DIVISIVENESS IN NEW OP- ED. . 'T'hn\ufb02tnww\ufb02f'nvn aura nnm \\
