2018-01-04 00:09:00	MSNBCW	22	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/540	TRUMP: BANNON \"LOST HIS MIND\" WHEN HE WAS FIRED\nTRUMP: \"BANNON HAS NOTHING TO DO WITH ME,\" PRESIDENCY\nTRUMP: BANNON \"HAD LITI'LE TO DO WITH\" MY VICTORY
2018-01-04 00:10:00	FOXNEWSW	16	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/600	IKILEAKS: FMR CLINTON CAMPAIGN MANAGER ACCUSED. OF PROTECTING STAFFER ACCUSED OF MISCONDUCT\nIKILEAKS: FMR CLINTON CAMPAIGN MANAGER ACCUSED. OF PROTECTING STAFFER ACCUSED OF MISCONDUCT. . W 1:;\nmg\u201c W w .. \\ H ' W...
2018-01-04 00:11:00	MSNBCW	20	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/660	BANNON UNLOADS ON TRUMP, FAMILY IN NEW BOOK\nBANNON ON IMPEACHMENT IN NEW BOOK: \"LET'S DO IT\"\nKRISTEN WELKER I #\"BCNEWS\nKRISTEN WELKER I \ufb01\ufb01\ufb01u\ufb01\ufb01xhpmmm
2018-01-04 00:12:00	BBCNEWS	15	BBCNEWS_20180104_000000_Newsday/start/720	EXTREME WEATHER FORECAST\nNEWSDAV
2018-01-04 00:12:00	CNNW	44	CNNW_20180104_000000_Erin_Burnett_OutFront/start/720	SOURCE: TRUMP TOOK GLOVES OFF AFI'ER BANNON TARGETED FIRST FAMILY\nSOURCE: TRUMP TOOK GLOVES OFF AFI'ER BANNON TARGETED FIRST FAMILY. . David Smith Washington Bureau Chief, The Guardian\nWH: TRUMP...
2018-01-04 00:15:00	BBCNEWS	8	BBCNEWS_20180104_000000_Newsday/start/900	TELEPHONE DIPLOMACY\nNEWSDAY Aucklan_\nNEWSDAV
2018-01-04 00:15:00	CNNW	22	CNNW_20180104_000000_Erin_Burnett_OutFront/start/900	SOURCE: TRUMP TOOK GLOVES OFF AFI'ER BANNON TARGETED FIRST FAMILY. . Tim Naftali Former Director, Nixon Presidential Library\nSOURCE: TRUMP TOOK GLOVES OFF AFI'ER BANNON TARGETED FIRST FAMILY
2018-01-04 00:17:00	BBCNEWS	5	BBCNEWS_20180104_000000_Newsday/start/1020	NEWSDAY. . Tommi-\nTOMASZ SCHAFERNAKER. BBC Meteorologist
2018-01-04 00:17:00	FOXNEWSW	42	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/1020	NNON'S BOMBSHELL NEW BOOK ALLEGATIONS I. . r\nSTEVE BANNON, FORMER W}! CHIEF STRATEGIST\n'HITE HOUSE RESPONDS TO BANNON REVELATIONS I. . , .
2018-01-04 00:18:00	FOXNEWSW	15	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/1080	BANNON IGNITES WAR WITH WHITE HOUSE. IN EXPLOSIVE NEW BOOK. . . . r\nSTEVE BANNON, FORMER W}! CHIEF STRATEGIST
2018-01-04 00:19:00	CNNW	43	CNNW_20180104_000000_Erin_Burnett_OutFront/start/1140	CNN: TRUMP'S EXPLOSIVE TWO DAYS FUELED BY RUSSIA. INVESTIGATION, ANGER OVER BANNON ALLEGATIONS
2018-01-04 00:19:00	FOXNEWSW	23	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/1140	(UMP: BANNON \"HAS LOST HIS MIND\" I\nNNON' S BOMBSHELL NEW BOOK ALLEGATIONS. . \\ 'T'thtnn-w\ufb02f'nvn aura nnm \\\ni\" SARAH HUCKABEE SANDERS 1 WHITE HOUSE PRESS SECRETARY I. ....
