2017-12-07 00:07:00	FOXNEWSW	21	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/420	HALEY: JERUSALEM DECISION \"SHOULD NOT. WEIGH ON PEACE PROCESS\" IN MIDDLE EAST -\nHALEY: JERUSALEM DECISION \"SHOULD NOT. WEIGH ON PEACE PROCESS\" IN MIDDLE EAST I\nHALEY: TRUMP DECLARING JERUSALEM CAPITAL. OF ISRAEL IS...
2017-12-07 00:07:00	MSNBCW	35	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/420	BANNON TO MCCONNELL: WE'RE GOING TO HOLD YOU ACCOUNTABLE\nBANNON TO MCCONNELL: A TAX CUT'S NOT GOING TO SAVE YOU\nRYAN WILLIAMS ' FORMER ROMNEY STRATEGIST
2017-12-07 00:08:00	BBCNEWS	11	BBCNEWS_20171207_000000_Newsday/start/480	TRUMP RECOGNISES JERUSALEM. Abbas: Demolition of all efforts to achieve peace\nTRUMP RECOGNISES JERUSALEM. Trump says US 'prepared to back two-state soluiion'\nHK ACTIVISTS TO BE SENTENCED. Wong and Shum pan of...
2017-12-07 00:08:00	CNNW	62	CNNW_20171207_000000_Erin_Burnett_OutFront/start/480	REP. SPEIER ON TRUMP JR.'S REFUSAL TO DISCUSS CONVERSATION. WITH HIS FATHER: \"HE HAS A SERIOUS CASE OF AMNESIA\
2017-12-07 00:08:00	FOXNEWSW	9	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/480	HALEY: PEACE NEGOTIATIONS WITH ISRAEL. AND PALESTINE WILL CONTINUE
2017-12-07 00:08:00	MSNBCW	39	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/480	BANNON ATI'ACKS REPUBLICAN ENEMIES AT ROY MOORE RALLY\nBANNON TO MCCONNELL: WE'RE GOING TO HOLD YOU ACCOUNTABLE
2017-12-07 00:09:00	BBCNEWS	27	BBCNEWS_20171207_000000_Newsday/start/540	IOC RUSSIA BAN. Putin to allow athletes to compete under neutral flag\nHK ACTIVISTS TO BE SENTENCED. Wong and Shum part at \u2019Umbrella Movement' prosecution
2017-12-07 00:09:00	FOXNEWSW	17	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/540	ALEY: PEACE WILL BE UP TO ISRAEL & PALESTINE I
2017-12-07 00:09:00	MSNBCW	26	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/540	BANNON SLAMS SEN. FLAKE FOR. CONTRIBUTING TO MOOPF'S ODDONFNT\nMOORE'S CANDIDACY SPLITS GOP\nSASSE: RNC RESUMING SUPPORT FOR. MOODF \"DOFSN'T MAKF ANY SFNSF\"\nBANNON ATI'ACKS REPUBLICAN ENEMIES AT ROY...
2017-12-07 00:10:00	BBCNEWS	11	BBCNEWS_20171207_000000_Newsday/start/600	TRUMP RECOGNISES JERUSALEM. Trump described move 'a long overdue step'\nTRUMP RECOGNISES JERUSALEM. President Trump says 'Jerusalem is Israel's capital\u2019\nTRUMP RECOGNISES JERUSALEM. Decision ovenurns...
2017-12-07 00:10:00	CNNW	23	CNNW_20171207_000000_Erin_Burnett_OutFront/start/600	TRUMP JR. WON'T REVEAL TALKS WITH FATHER ABOUT TRUMP TOWER MEETING. . Jeffrey Cramer Fmr. Assistant US. Attorney, Northern District of Illinois\nTRUMP JR. WON'T REVEAL TALKS WITH FATHER ABOUT TRUMP TOWER MEETING\nTRUMP JR REFUSES TO DETAIL CONVERSATION WITH HIS FATHER. ABOUT...
2017-12-07 00:10:00	FOXNEWSW	11	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/600	ALEY ON GROWING THREAT FROM NORTH KOREA I:
2017-12-07 00:10:00	MSNBCW	43	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/600	SASSE: RNC RESUMING SUPPORT FOR. MOODF \"DOFSN'T MAKF ANY SFNSF\"\nGLOVES COME OFF AS ALABAMA SENATE RACE HITS HOME STRETCH
2017-12-07 00:11:00	BBCNEWS	11	BBCNEWS_20171207_000000_Newsday/start/660	TRUMP RECOGNISES JERUSALEM. Netanyahu says announcement a 'historic landmark\u2019\nTRUMP RECOGNISES JERUSALEM. Trump says Vice President Pence to visit Middle East\nTRUMP RECOGNISES JERUSALEM. Abbas: Demolition O1 all...
2017-12-07 00:11:00	CNNW	49	CNNW_20171207_000000_Erin_Burnett_OutFront/start/660	REP. SPEIER ON TRUMP JR.'S REFUSAL TO DISCUSS CONVERSATION. WITH HIS FATHER: \"HE HAS A SERIOUS CASE OF AMNESIA\"\nTRUMP JR. WON'T REVEAL TALKS WITH FATHER ABOUT TRUMP TOWER MEETING. . David Gerqen Former Presidential Adviser
2017-12-07 00:11:00	MSNBCW	42	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/660	BANNON ATI'ACKS REPUBLICAN ENEMIES AT ROY MOORE RALLY\nGLOVES COME OFF AS ALABAMA SENATE RACE HITS HOME STRETCH\nWHITE HOUSE: ROY MOORE ALLEGATIONS \"TROUBLING,\". RUT TDUMD\u2019S NOT GOING TO...
2017-12-07 00:12:00	BBCNEWS	17	BBCNEWS_20171207_000000_Newsday/start/720	COMING UP\nTRUMP RECOGNISES JERUSALEM. Decision ovenurns decades of United States policy\nTRUMP RECOGNISES JERUSALEM. President Trump says...
2017-12-07 00:12:00	CNNW	30	CNNW_20171207_000000_Erin_Burnett_OutFront/start/720	TRUMP JR REFUSES TO DETAIL CONVERSATION WITH HIS FATHER. ABOUT TRUMP TOWER MEETING WITH RUSSIAN LAWYER\nTRUMP JR. WON'T REVEAL TALKS WITH FATHER ABOUT TRUMP TOWER MEETING. . Jeffrey Cramer Fmr. Assistant US. Attorney, Northern District of...
2017-12-07 00:12:00	FOXNEWSW	14	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/720	ALEY: WE'RE TAKING \"EVERY PRECAUTION POSSIBLE\". TO MAKE SURE OUR OLYMPIC ATHLETES ARE SAFE\nHALEY: WE ALL HAVE ONE GOAL,. A DE-NUCLEARIZED NORTH KOREA\nLEY: CHINA stSQwonkIN\u00e9\u2019TEG'ETHER ON NOKO
2017-12-07 00:12:00	MSNBCW	34	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/720	BANNON ATI'ACKS REPUBLICAN ENEMIES AT ROY MOORE RALLY\nWHITE HOUSE: ROY MOORE ALLEGATIONS \"TROUBLING,\". RUT TDUMD\u2019S NOT GOING TO supponT A DFMOCDAT
2017-12-07 00:13:00	BBCNEWS	4	BBCNEWS_20171207_000000_Newsday/start/780	COMING UP
2017-12-07 00:13:00	FOXNEWSW	11	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/780	b.|.EY: WE HAVE TO WATCH NORTH KOREA CLOSELY
2017-12-07 00:13:00	MSNBCW	11	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/780	BANNON ATI'ACKS REPUBLICAN ENEMIES AT ROY MOORE RALLY
2017-12-07 00:14:00	CNNW	4	CNNW_20171207_000000_Erin_Burnett_OutFront/start/840	wellsfargo.com/better
2017-12-07 00:14:00	FOXNEWSW	8	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/840	IA. . nnunar: 1\u201c) nm fhn afnmr \\
2017-12-07 00:16:00	BBCNEWS	10	BBCNEWS_20171207_000000_Newsday/start/960	AUSTRALIA CHURCH SEX ABUSE TRIAL. . Avchmshup Wilson aueged to have known about child sexua' abuss\nAUSTRALIA CHURCH SEX ABUSE TRIAL. Wilson alleged to have paid $7,5OO to silence complainant
2017-12-07 00:17:00	CNNW	7	CNNW_20171207_000000_Erin_Burnett_OutFront/start/1020	By prescription only HUMIRAO. . adalimumab\nWHISTLEBLOWER: FLYNN SUGGESTED TO FORMER COLLEAGUE. THAT RUSSIA SANCTIONS WOULD BE \"RIPPED UP\"\nHUMIRA is taken by injection HUMIRA\u201c....
2017-12-07 00:17:00	FOXNEWSW	12	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/1020	OLIDAY SOUL
2017-12-07 00:18:00	BBCNEWS	12	BBCNEWS_20171207_000000_Newsday/start/1080	AUSTRALIA CHURCH SEX ABUSE TRIAL. Wilson alleged to have paid $7,5OO to silence complainant\nAUSTRALIA CHURCH SEX ABUSE TRIAL. . Wilson who has Alzheimer's disease deemed {it w stand trial
2017-12-07 00:18:00	CNNW	62	CNNW_20171207_000000_Erin_Burnett_OutFront/start/1080	WHISTLEBLOWER: FLYNN SUGGESTED TO FORMER COLLEAGUE. THAT RUSSIA SANCTIONS WOULD BE \"RIPPED UP\
2017-12-07 00:18:00	FOXNEWSW	5	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/1080	'ANKEN FACING GROWING CALLS TO RESIGN I\nANKEN TO MAKE ANNOUNCEMENT TOMORROW I\nFRANKEN FACING CALLS TO RESIGN FOLLOWING. ALLEGATIONS OF SEXUAL MISCONDUCT
2017-12-07 00:18:00	MSNBCW	15	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/1080	SEN. GILLIBRAND LEADS CALLS FOR FRANKEN\u2019S RESIGNATION\nSEN. KIRSTEN GILLIBRAND I (D) NEW YORK
2017-12-07 00:19:00	BBCNEWS	22	BBCNEWS_20171207_000000_Newsday/start/1140	NEPAL ELECTIONS. First general election since civil war ended\nNEPAL ELECTIONS. Voters to choose a 275-member parliament\nNEPAL ELECTIONS. Turnout in the first phase was more than 65%\nNEPAL...
2017-12-07 00:19:00	FOXNEWSW	23	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/1140	FRANKEN FACING CALLS TO RESIGN FOLLOWING. ALLEGATIONS OF SEXUAL MISCONDUCT
2017-12-07 00:20:00	BBCNEWS	15	BBCNEWS_20171207_000000_Newsday/start/1200	NEPAL ELECTIONS. Second phase of general elections on 7 December\nNEPAL ELECTIONS. First general election since monarchy abolished\nNEPAL ELECTIONS. Voters to choose a 275-membev parliament\nNEPAL...
